id;title;description;difficulty;rating;released;thumbnail_url
1;New Taiwan Dollar connecting Fiji Dollar;seize;EASY;10989;2021-03-17;embrace
2;open-source;protocol;HARD;40789;2021-03-17;synthesizing transition array
3;Tasty generating Guarani;Iraq;EASY;56574;2021-03-17;Architect violet reboot
4;Harbors access;Function-based indexing;EASY;19044;2021-03-16;Zambian Kwacha Steel
5;Concrete Corporate convergence;fresh-thinking;EASY;27847;2021-03-17;Sleek Quality neural
6;Soap;Money Market Account;MEDIUM;77263;2021-03-17;convergence generate
7;one-to-one;Investor European Unit of Account 17(E.U.A.-17);HARD;60805;2021-03-16;blue
8;green;multimedia architect THX;MEDIUM;76502;2021-03-16;transmit Licensed
9;Delaware;Strategist Credit Card Account;MEDIUM;68494;2021-03-17;copy Texas SMS
10;Metal Associate;Regional Intelligent;HARD;55571;2021-03-16;Silver Associate Borders
